"objective","user_id","earned_points","possible_points","per_earned"
"LO 1",198143,21,28,0.75
"LO 1",458398,25,28,0.892857142857143
"LO 1",448357,20,28,0.714285714285714
"LO 1",626339,27,28,0.964285714285714
"LO 1",384343,26,28,0.928571428571429
"LO 1",607272,26,28,0.928571428571429
"LO 1",267441,25,28,0.892857142857143
"LO 1",846696,23,28,0.821428571428571
"LO 1",840750,26,28,0.928571428571429
"LO 1",101342,27,28,0.964285714285714
"LO 1",180485,22,28,0.785714285714286
"LO 1",120929,27,28,0.964285714285714
"LO 1",499899,24,28,0.857142857142857
"LO 1",264385,25,28,0.892857142857143
"LO 1",706221,25,28,0.892857142857143
"LO 1",958556,25,28,0.892857142857143
"LO 1",180041,27,28,0.964285714285714
"LO 1",536514,25,28,0.892857142857143
"LO 1",130452,24,28,0.857142857142857
"LO 1",101789,25,28,0.892857142857143
"LO 1",219731,24,28,0.857142857142857
"LO 1",311408,26,28,0.928571428571429
"LO 1",907714,23,28,0.821428571428571
"LO 1",803996,23,28,0.821428571428571
"LO 1",225155,26,28,0.928571428571429
"LO 1",850562,26,28,0.928571428571429
"LO 1",187745,26,28,0.928571428571429
"LO 1",272879,26,28,0.928571428571429
"LO 1",689993,26,28,0.928571428571429
"LO 1",660039,24,28,0.857142857142857
"LO 1",864640,25,28,0.892857142857143
"LO 1",426574,24,28,0.857142857142857
"LO 1",631590,23,28,0.821428571428571
"LO 1",700944,25,28,0.892857142857143
"LO 1",718711,23,28,0.821428571428571
"LO 1",631473,26,28,0.928571428571429
"LO 1",956668,24,28,0.857142857142857
"LO 1",708914,26,28,0.928571428571429
"LO 1",726308,26,28,0.928571428571429
"LO 1",133513,26,28,0.928571428571429
"LO 1",404258,24,28,0.857142857142857
"LO 1",805633,26,28,0.928571428571429
"LO 1",157786,25,28,0.892857142857143
"LO 1",454486,26,28,0.928571428571429
"LO 1",602491,25,28,0.892857142857143
"LO 1",213211,24,28,0.857142857142857
"LO 1",949629,27,28,0.964285714285714
"LO 1",934507,24,28,0.857142857142857
"LO 1",169167,27,28,0.964285714285714
"LO 1",784976,25,28,0.892857142857143
"LO 1",876895,26,28,0.928571428571429
"LO 1",419806,26,28,0.928571428571429
"LO 1",270471,27,28,0.964285714285714
"LO 1",543808,27,28,0.964285714285714
"LO 1",765072,26,28,0.928571428571429
"LO 1",414493,24,28,0.857142857142857
"LO 1",228290,23,28,0.821428571428571
"LO 1",631555,21,28,0.75
"LO 1",880657,26,28,0.928571428571429
"LO 1",561061,28,28,1
"LO 1",369125,21,28,0.75
"LO 1",681035,25,28,0.892857142857143
"LO 1",677924,25,28,0.892857142857143
"LO 1",866891,22,28,0.785714285714286
"LO 1",194450,24,28,0.857142857142857
"LO 1",606572,22,28,0.785714285714286
"LO 1",356514,24,28,0.857142857142857
"LO 1",851100,25,28,0.892857142857143
"LO 1",576347,27,28,0.964285714285714
"LO 1",325583,23,28,0.821428571428571
"LO 1",470424,25,28,0.892857142857143
"LO 1",197290,23,28,0.821428571428571
"LO 1",185931,26,28,0.928571428571429
"LO 1",686291,21,28,0.75
"LO 1",201505,26,28,0.928571428571429
"LO 1",807437,26,28,0.928571428571429
"LO 1",352261,23,28,0.821428571428571
"LO 1",618817,24,28,0.857142857142857
"LO 1",682231,25,28,0.892857142857143
"LO 1",778199,27,28,0.964285714285714
"LO 1",907766,24,28,0.857142857142857
"LO 1",149696,21,28,0.75
"LO 1",618534,28,28,1
"LO 1",169774,24,28,0.857142857142857
"LO 1",685426,27,28,0.964285714285714
"LO 1",465229,19,28,0.678571428571429
"LO 1",754893,25,28,0.892857142857143
"LO 1",871535,27,28,0.964285714285714
"LO 1",866963,24,28,0.857142857142857
"LO 1",475808,25,28,0.892857142857143
"LO 1",691200,21,28,0.75
"LO 1",300533,22,28,0.785714285714286
"LO 1",621257,25,28,0.892857142857143
"LO 1",506226,25,28,0.892857142857143
"LO 1",574002,26,28,0.928571428571429
"LO 1",661053,23,28,0.821428571428571
"LO 1",549329,23,28,0.821428571428571
"LO 1",561409,23,28,0.821428571428571
"LO 1",365131,26,28,0.928571428571429
"LO 1",769277,23,28,0.821428571428571
"LO 1",835794,26,28,0.928571428571429
"LO 1",801673,23,28,0.821428571428571
"LO 1",914051,26,28,0.928571428571429
"LO 1",945708,25,28,0.892857142857143
"LO 1",740726,27,28,0.964285714285714
"LO 1",306807,25,28,0.892857142857143
"LO 1",825501,23,28,0.821428571428571
"LO 1",720476,25,28,0.892857142857143
"LO 1",306798,22,28,0.785714285714286
"LO 1",595858,23,28,0.821428571428571
"LO 1",562429,25,28,0.892857142857143
"LO 1",863951,25,28,0.892857142857143
"LO 1",924385,25,28,0.892857142857143
"LO 1",710548,26,28,0.928571428571429
"LO 1",375102,24,28,0.857142857142857
"LO 1",521579,25,28,0.892857142857143
"LO 1",230022,25,28,0.892857142857143
"LO 1",244810,25,28,0.892857142857143
"LO 1",292733,27,28,0.964285714285714
"LO 1",543600,26,28,0.928571428571429
"LO 1",725754,18,28,0.642857142857143
"LO 1",367107,24,28,0.857142857142857
"LO 1",926553,26,28,0.928571428571429
"LO 1",132994,24,28,0.857142857142857
"LO 1",349587,25,28,0.892857142857143
"LO 1",669562,25,28,0.892857142857143
"LO 1",286020,27,28,0.964285714285714
"LO 1",726673,24,28,0.857142857142857
"LO 1",854820,18,28,0.642857142857143
"LO 1",710119,24,28,0.857142857142857
"LO 1",404228,23,28,0.821428571428571
"LO 1",661303,27,28,0.964285714285714
"LO 1",869234,24,28,0.857142857142857
"LO 1",317094,26,28,0.928571428571429
"LO 1",930876,25,28,0.892857142857143
"LO 1",224410,27,28,0.964285714285714
"LO 1",299345,25,28,0.892857142857143
"LO 1",759213,26,28,0.928571428571429
"LO 1",580736,28,28,1
"LO 1",664802,27,28,0.964285714285714
"LO 1",694360,26,28,0.928571428571429
"LO 1",699887,25,28,0.892857142857143
"LO 1",971824,26,28,0.928571428571429
"LO 1",809743,25,28,0.892857142857143
"LO 1",570147,25,28,0.892857142857143
"LO 1",746871,27,28,0.964285714285714
"LO 1",172351,25,28,0.892857142857143
"LO 1",706291,26,28,0.928571428571429
"LO 1",577637,25,28,0.892857142857143
"LO 1",536905,28,28,1
"LO 1",562917,26,28,0.928571428571429
"LO 1",370770,28,28,1
"LO 1",570301,26,28,0.928571428571429
"LO 1",335286,26,28,0.928571428571429
"LO 1",203204,27,28,0.964285714285714
"LO 1",942671,23,28,0.821428571428571
"LO 1",852057,25,28,0.892857142857143
"LO 1",788583,27,28,0.964285714285714
"LO 1",501955,27,28,0.964285714285714
